300 44000
80 167 3
204 244 1
20 146 3
284 163 10
112 103 2
255 63 4
251 35 3
150 96 1
256 264 7
102 298 6
79 81 8
90 105 8
37 59 2
230 137 2
4 51 4
178 77 1
58 261 9
238 121 7
70 248 2
275 180 9
260 104 6
266 208 7
96 62 1
255 132 5
57 216 10
80 217 5
253 125 1
70 214 9
196 4 10
195 80 2
254 253 9
73 208 4
275 291 3
116 211 10
213 264 10
169 21 1
256 69 9
277 187 6
206 1 6
231 27 2
170 88 6
22 8 10
248 171 9
102 228 4
146 243 3
75 253 2
269 264 3
291 109 5
123 125 6
65 115 1
158 20 5
219 29 2
252 200 10
266 99 4
45 282 7
228 59 2
269 50 8
246 77 3
40 50 10
228 264 6
247 45 3
283 111 2
79 261 4
116 37 4
15 105 7
34 103 3
237 143 7
10 152 2
275 43 8
14 91 4
144 87 7
147 299 9
54 190 6
245 100 3
205 204 7
13 177 5
46 32 8
147 3 2
155 287 9
277 66 6
199 9 10
209 102 7
299 286 8
294 211 9
6 240 6
130 13 4
212 153 10
45 263 8
244 254 9
117 124 4
18 167 5
238 84 7
164 231 6
209 33 9
202 289 4
237 79 5
231 227 10
68 169 6
265 205 4
225 245 8
103 217 2
9 5 6
129 100 4
13 215 8
288 132 8
44 112 4
211 148 4
168 27 9
181 286 9
168 126 4
54 43 1
167 49 9
228 42 8
289 149 6
58 70 9
20 103 4
277 153 8
63 252 9
79 231 3
72 67 7
187 250 1
171 185 2
189 140 1
110 260 8
230 124 3
95 94 2
148 132 1
22 17 4
239 259 7
39 298 3
53 170 6
206 82 8
222 202 3
111 234 3
292 244 7
296 294 8
17 264 10
272 23 8
90 263 6
37 31 3
55 194 8
195 235 2
195 242 5
264 236 8
297 112 3
69 201 1
183 263 10
152 191 3
5 3 3
33 244 1
208 231 7
228 240 9
296 6 3
251 258 3
289 110 7
113 244 9
3 39 6
44 72 4
242 139 7
50 101 7
149 113 2
186 280 2
245 206 10
21 74 7
184 233 7
62 248 10
137 76 8
96 274 1
170 74 5
49 71 10
211 162 3
226 273 7
242 12 6
10 72 10
114 20 4
168 151 3
244 299 8
95 36 7
117 93 7
78 241 3
236 91 2
105 142 2
115 89 2
48 259 6
107 162 1
47 266 5
50 207 6
29 208 6
85 156 7
121 102 1
121 40 4
187 174 5
224 45 3
209 166 2
134 267 5
280 240 1
91 127 6
121 168 4
28 181 6
163 276 9
103 137 2
143 238 6
15 24 3
60 102 2
286 276 10
52 69 9
197 228 9
245 216 8
132 296 8
267 252 8
164 0 1
172 107 10
125 138 2
268 280 4
209 58 6
24 289 1
5 247 4
217 192 8
231 181 10
40 100 3
179 53 5
251 185 1
280 223 9
195 236 9
154 274 6
16 131 3
269 104 5
138 255 9
136 103 4
125 145 10
57 44 2
202 146 5
180 274 9
121 47 10
174 160 9
10 12 5
127 62 10
33 281 1
89 283 8
184 274 3
151 100 5
57 42 5
0 142 5
158 251 7
148 146 10
158 195 4
125 282 10
3 53 1
242 153 4
112 122 10
212 158 9
1 226 10
35 90 5
294 291 1
256 45 10
198 253 4
0 90 5
33 251 3
180 29 8
164 114 10
196 197 7
292 174 1
81 251 5
65 81 2
188 94 8
169 33 2
68 44 2
54 272 1
225 30 5
55 86 3
274 194 7
97 150 6
97 85 5
40 124 5
261 92 8
244 243 7
263 15 1
278 259 9
213 161 4
93 37 7
198 122 4
104 155 2
284 98 10
221 155 7
231 118 1
11 146 8
251 174 4
266 131 5
148 42 9
230 272 6
294 118 5
245 137 3
45 239 2
213 92 7
171 83 7
205 216 3
43 274 2
271 5 1
110 283 9
85 2 6
22 67 10
186 173 4
30 24 7
239 150 5
15 113 5
142 130 5
46 30 1
49 144 10
159 225 3
69 90 8
136 7 2
78 135 8
285 219 3
180 246 9
290 156 5
102 35 6
280 265 8
10 179 6
82 14 2
46 143 9
253 41 4
89 256 4
143 112 10
149 12 9
48 298 1
7 209 9
171 202 3
18 28 6
91 94 10
172 241 9
259 212 6
256 276 2
165 223 5
33 161 1
245 271 9
180 52 4
123 232 2
31 153 4
143 47 2
25 179 8
159 26 9
240 271 8
260 103 8
14 144 6
261 100 9
130 110 9
230 53 9
37 229 5
51 83 5
169 51 8
148 65 6
242 50 7
226 126 3
246 291 9
131 171 8
154 106 10
282 237 4
25 142 5
172 74 5
41 42 5
43 154 9
34 21 5
72 279 6
45 241 4
171 257 2
253 275 1
198 32 3
230 71 8
199 141 9
48 47 1
195 125 9
261 69 8
226 259 4
260 73 5
139 263 4
55 19 5
87 33 1
167 210 9
174 133 7
62 162 4
60 70 4
282 154 8
51 7 8
91 282 4
194 25 5
3 76 7
173 87 2
259 229 5
274 22 5
219 14 5
43 23 10
97 4 5
244 12 5
57 112 6
240 130 2
202 259 1
186 162 4
19 93 4
274 129 9
177 140 5
11 45 8
96 263 2
251 253 8
187 251 10
208 201 8
58 95 5
281 97 8
195 275 9
31 222 4
284 268 5
256 113 7
132 90 7
0 283 9
170 205 5
224 155 4
39 161 4
177 169 2
173 55 9
256 258 7
216 143 10
96 73 9
52 275 3
218 249 5
224 119 7
15 167 9
145 229 5
246 93 9
66 159 4
105 88 1
44 147 6
218 97 9
270 239 2
112 131 6
176 184 1
152 145 7
176 136 7
297 136 1
10 98 1
105 171 6
278 256 4
69 158 3
154 246 1
234 208 2
297 187 2
126 235 8
33 141 3
96 258 4
275 93 10
82 160 8
219 180 10
66 161 8
109 187 3
64 259 3
147 42 2
209 257 6
203 40 9
74 124 1
289 158 5
168 215 10
4 132 1
159 53 4
274 126 8
101 258 5
263 191 6
96 200 4
112 68 10
21 262 3
162 13 5
237 247 10
155 275 8
147 35 7
220 147 7
270 255 8
288 8 5
204 73 6
19 54 5
37 225 4
148 112 3
280 238 3
41 167 7
171 123 10
7 269 9
183 271 7
60 298 1
47 235 2
265 48 10
66 276 1
211 119 10
206 267 6
256 213 1
232 211 1
254 86 10
202 244 4
207 263 1
131 291 9
112 285 8
191 110 7
13 278 5
147 2 2
82 84 9
192 144 6
106 263 1
79 212 1
63 126 6
68 233 2
156 189 9
299 232 8
126 286 6
137 1 5
62 125 9
35 92 1
149 98 1
261 134 1
33 115 2
109 265 8
128 222 7
287 38 9
71 2 4
103 281 6
171 179 9
129 52 3
194 172 8
130 31 5
67 98 5
110 13 1
227 112 1
253 257 10
114 214 5
192 159 8
71 194 8
204 94 8
258 189 6
71 98 2
148 100 4
239 168 4
95 250 6
109 50 2
40 82 2
156 166 2
261 186 4
209 294 6
256 294 9
203 248 4
62 245 10
136 28 9
40 164 4
183 283 8
75 142 5
52 237 3
217 87 4
177 297 7
286 53 3
276 150 7
146 193 4
53 284 4
228 166 3
268 125 4
30 277 6
243 49 3
264 43 7
151 217 1
296 211 8
75 21 10
211 106 5
0 129 6
265 98 7
291 154 7
53 235 6
91 200 7
231 240 2
119 151 8
61 144 9
295 17 9
99 214 2
33 121 10
222 273 10
15 281 2
45 174 9
154 26 1
111 187 7
83 161 9
158 148 1
162 244 1
196 229 8
75 183 4
93 186 3
176 221 2
298 268 6
124 138 9
293 227 7
41 231 9
132 298 3
143 124 7
289 52 10
67 102 7
47 117 4
49 151 9
142 148 2
137 189 4
240 287 8
271 236 1
81 27 6
263 132 9
140 101 6
93 122 6
211 43 3
248 178 2
96 130 2
288 274 6
185 289 4
171 172 3
212 211 3
231 283 10
140 71 5
286 58 10
247 223 8
292 137 3
279 109 3
36 135 10
140 170 7
251 51 10
143 231 9
190 258 2
84 10 10
263 63 8
99 215 4
91 244 2
271 299 1
268 270 4
147 79 5
165 291 6
96 76 4
196 185 6
16 175 4
278 272 9
279 144 7
184 154 6
280 113 10
135 128 3
90 282 3
110 250 4
73 19 4
296 1 9
250 37 8
40 37 4
206 70 9
284 204 9
105 211 10
87 1 9
41 107 10
63 241 3
17 155 1
219 150 8
114 245 5
290 123 8
160 117 10
73 245 4
203 158 10
291 192 10
209 161 5
34 202 2
42 166 7
244 65 5
228 104 5
37 67 8
287 54 4
205 18 4
208 258 7
130 129 3
201 118 6
109 153 2
142 51 2
18 261 1
258 145 1
18 298 4
298 205 3
227 95 1
125 231 9
186 44 10
15 257 7
48 85 3
185 181 7
71 58 2
146 56 8
49 43 8
180 109 3
266 133 5
282 234 5
84 262 7
163 239 6
28 165 3
167 180 7
30 256 4
185 98 2
55 42 5
224 191 10
269 206 6
86 285 7
40 178 9
32 234 9
101 144 1
83 144 1
125 288 1
71 274 3
209 21 2
22 113 2
260 62 6
68 89 9
71 223 6
182 55 6
108 222 10
193 91 1
204 133 10
173 241 8
25 209 2
81 247 7
275 279 8
261 103 6
265 249 4
25 66 9
84 181 6
72 242 2
105 224 7
73 202 8
200 211 6
169 17 3
161 86 9
148 38 3
170 1 5
86 229 7
82 12 5
217 26 8
195 293 10
56 269 10
106 140 7
96 69 9
117 64 7
298 35 3
281 3 8
92 274 7
44 55 5
208 175 10
135 228 4
207 277 8
76 124 7
124 86 1
149 245 7
153 235 2
171 14 4
226 261 4
296 11 10
96 293 5
85 83 2
104 179 3
38 75 8
228 25 7
30 194 10
296 23 2
91 56 1
76 185 8
147 60 5
43 254 7
130 263 4
258 19 4
1 186 5
173 53 3
26 295 9
177 100 9
105 182 6
133 45 9
94 59 9
21 257 8
275 119 4
45 217 1
194 207 4
164 27 10
229 148 6
152 164 9
193 168 1
109 177 10
16 41 3
12 176 10
1 217 8
3 292 10
187 119 10
119 43 1
90 67 7
216 287 5
86 78 7
15 17 10
243 177 7
149 160 7
242 157 7
256 224 10
222 189 6
241 105 2
198 216 10
166 190 2
47 76 7
3 56 6
39 1 6
199 70 10
201 110 5
142 259 2
282 174 8
111 233 2
67 86 7
114 131 1
256 15 6
78 121 1
204 60 2
223 3 1
220 155 9
248 261 2
276 167 6
178 267 6
215 30 9
214 259 7
42 156 6
196 283 1
215 278 7
29 141 8
218 82 3
286 82 1
101 267 7
214 39 2
296 36 7
55 263 3
165 16 2
296 8 8
217 127 5
210 94 2
42 230 2
49 76 9
132 192 3
143 157 7
83 164 1
90 145 8
126 108 6
111 269 5
116 159 6
71 148 9
70 44 4
184 299 5
211 189 7
31 296 2
125 170 10
186 127 5
132 183 10
193 254 8
28 65 10
199 44 7
13 60 10
130 183 9
269 139 5
246 231 1
263 87 7
214 280 10
150 99 6
253 191 8
155 171 5
63 208 1
184 22 7
166 202 4
222 181 4
220 54 7
146 191 10
8 298 8
1 35 8
274 196 3
150 132 9
286 78 2
218 135 1
139 256 3
250 146 5
279 28 5
22 126 2
115 178 4
203 180 7
170 94 4
282 254 4
225 29 6
277 156 6
3 54 8
217 48 1
221 84 1
239 158 9
96 55 3
61 221 3
262 225 1
14 230 1
27 143 8
28 24 2
48 40 8
152 85 10
29 234 5
105 194 1
92 203 2
204 236 8
47 19 4
262 151 8
155 128 5
63 213 5
67 259 10
111 184 7
26 146 3
175 287 5
60 286 9
228 191 8
281 44 3
10 51 6
224 164 7
223 234 1
222 190 10
226 231 7
137 47 6
121 94 5
242 77 10
176 263 8
143 257 4
258 106 1
279 8 4
135 63 7
266 129 3
87 238 1
72 178 7
283 77 3
250 99 1
90 173 9
43 142 6
91 8 6
84 116 3
240 189 1
255 28 1
130 55 2
49 290 8
269 245 8
146 68 2
2 202 6
14 69 6
284 193 3
92 222 9
50 72 8
154 93 3
8 229 10
141 262 1
241 189 7
209 117 10
59 249 3
156 235 4
246 274 8
5 285 1
169 15 1
229 113 2
125 169 8
131 17 10
101 20 8
136 250 4
129 201 4
233 224 4
114 34 5
135 8 6
211 153 9
84 297 3
143 145 8
14 164 3
268 131 3
86 283 2
261 216 7
282 198 2
180 290 8
48 266 10
6 193 9
123 166 7
66 295 2
183 102 9
13 147 9
299 100 2
245 224 5
115 14 7
60 207 3
59 202 8
265 282 4
214 68 1
179 54 2
105 239 8
214 135 4
245 186 2
175 181 2
268 154 2
185 257 2
226 162 7
227 210 6
103 271 3
70 231 8
209 169 7
23 249 7
260 244 8
243 10 10
46 148 4
281 295 7
129 223 5
214 19 6
148 103 1
84 253 5
91 22 8
246 157 9
257 11 5
27 291 2
217 44 5
240 87 4
151 278 5
281 7 9
177 272 8
233 118 5
55 79 6
293 72 8
178 45 1
40 212 10
210 14 5
277 286 7
7 128 7
104 154 3
16 213 1
293 184 9
230 132 1
170 237 8
159 246 5
279 272 1
232 121 8
281 63 5
50 134 5
297 146 7
248 12 9
246 29 8
32 9 5
231 19 10
272 108 5
238 231 4
121 95 10
181 81 6
65 238 6
123 240 2
50 151 6
106 240 7
138 7 5
157 46 6
83 21 3
140 123 9
86 159 1
134 280 2
280 212 5
32 239 3
225 117 2
153 218 6
72 84 8
111 61 4
61 72 8
277 261 1
92 15 6
244 24 3
266 53 8
194 41 2
161 107 1
193 114 9
92 237 10
27 3 6
191 46 2
14 263 10
136 16 7
140 10 3
41 44 9
237 95 3
181 187 4
299 222 10
117 56 9
21 197 8
240 286 3
203 282 7
144 253 10
89 0 6
130 213 3
179 62 6
144 152 6
17 256 5
179 222 3
150 293 3
7 294 8
75 83 8
164 72 7
237 36 5
201 155 9
215 90 2
206 264 2
59 208 7
108 179 1
195 171 5
20 126 1
186 267 1
274 139 10
144 4 3
37 54 6
69 291 2
262 129 7
56 175 6
173 232 3
289 40 9
193 56 6
35 263 8
264 163 3
16 68 6
31 73 3
247 119 4
285 109 3
136 279 6
83 292 1
171 100 8
36 119 2
240 232 3
40 26 10
22 260 3
289 71 6
180 287 2
163 89 2
51 86 9
66 255 4
33 157 8
104 221 1
160 221 2
253 196 7
296 95 1
46 72 6
187 24 2
42 209 1
73 181 3
131 26 4
74 36 6
129 179 9
166 81 2
188 268 4
236 62 4
157 118 6
16 163 10
23 29 5
228 124 3
159 109 3
33 104 2
213 173 6
163 107 6
254 262 10
78 67 6
151 240 1
16 225 10
74 173 4
270 104 7
28 23 3
46 7 6
164 228 6
46 27 6
140 99 5
125 126 6
4 5 3
107 62 6
165 70 3
215 113 10
277 225 5
250 134 5
296 2 1
119 77 10
256 267 1
119 233 8
85 254 1
168 128 2
17 156 1
294 160 10
181 129 2
83 96 4
92 262 6
45 73 4
96 288 6
24 20 4
201 278 7
135 238 1
9 228 1
272 39 9
75 229 6
21 40 10
226 71 2
250 231 5
148 88 3
105 148 7
95 134 1
158 70 5
294 286 1
92 36 2
77 265 1
212 142 3
41 224 5
161 120 6
149 193 7
192 237 10
110 175 7
219 52 10
284 223 3
108 24 10
71 26 5
73 273 9
254 83 1
148 20 2
133 271 7
13 247 3
217 231 9
208 269 3
177 138 2
262 155 5
160 247 8
84 209 8
263 196 2
221 87 1
81 28 2
9 29 9
144 247 5
205 185 9
79 293 7
50 148 5
290 195 7
64 227 3
261 233 3
0 288 7
152 270 8
25 32 7
207 73 5
134 55 3
96 254 7
4 22 3
34 171 6
215 125 5
284 258 6
251 279 2
276 79 6
236 216 8
257 71 1
50 4 10
15 189 9
213 160 8
263 200 6
31 97 4
120 24 2
2 69 8
225 51 10
96 60 6
278 6 3
284 91 6
81 249 2
282 50 9
290 274 2
11 267 10
219 151 9
86 189 9
283 21 5
178 180 7
224 108 1
150 87 6
249 100 5
249 170 1
59 60 3
294 195 5
2 113 5
216 239 8
252 297 9
25 46 4
94 185 3
61 279 10
8 95 7
266 222 9
193 238 3
88 171 10
142 185 3
296 266 10
70 269 1
237 171 1
171 160 9
71 97 3
264 209 8
124 153 8
64 71 4
10 293 3
71 109 1
287 18 10
16 197 6
166 173 4
164 230 5
144 179 2
161 69 5
156 142 10
151 122 9
204 289 3
284 126 4
87 92 10
8 106 7
1 269 5
213 17 10
202 27 9
86 42 9
88 286 5
78 245 1
175 250 6
146 217 7
127 195 1
165 162 4
274 294 7
43 171 6
139 170 5
56 30 4
138 234 4
184 25 8
262 71 7
45 161 2
105 293 3
4 158 2
59 227 9
80 203 5
62 207 5
223 118 7
299 217 6
241 199 9
142 137 10
255 221 10
66 108 3
199 124 5
4 142 4
61 198 4
277 193 10
243 73 10
61 21 4
274 289 9
285 182 6
69 254 8
89 277 9
103 184 6
225 287 1
202 236 2
293 15 5
288 236 5
196 222 7
214 156 5
182 227 8
161 184 5
197 247 4
33 270 8
31 103 6
42 260 2
243 234 9
12 202 10
123 15 9
145 248 10
140 238 6
18 275 4
205 106 8
296 22 3
223 191 8
145 260 7
49 286 9
245 194 1
197 206 6
168 94 2
258 242 9
276 19 7
58 254 9
144 108 10
123 4 10
5 187 6
293 31 5
100 206 8
120 291 4
179 208 10
208 19 5
50 25 1
165 37 8
269 93 8
122 255 1
174 82 3
224 29 1
151 259 10
63 174 10
120 65 6
195 26 9
94 242 6
266 28 4
282 106 3
241 221 7
172 60 4
159 69 10
295 197 6
48 128 2
85 264 9
35 258 3
178 166 1
165 282 3
39 266 3
47 219 2
53 41 9
131 139 8
241 109 7
11 84 1
13 163 9
129 277 10
227 102 10
270 7 8
295 203 4
153 147 5
86 140 3
285 258 5
132 282 10
219 206 10
188 124 6
82 181 9
74 262 4
46 184 6
143 213 10
79 69 3
269 106 3
238 60 9
104 75 8
37 63 5
241 185 4
174 153 1
37 214 3
243 48 8
251 84 1
113 166 2
198 240 4
244 176 1
138 218 5
83 36 10
33 185 7
147 111 5
209 119 2
258 134 3
60 194 1
161 255 10
207 6 2
172 257 6
298 197 5
97 155 3
55 270 3
287 113 6
128 69 2
210 85 5
150 174 5
26 155 3
193 157 10
70 47 1
174 295 5
116 296 1
78 263 7
291 9 4
160 114 9
2 80 1
175 120 9
292 125 5
44 190 4
282 110 2
229 262 10
16 62 3
118 160 3
170 208 1
26 252 3
207 102 10
172 208 2
122 222 2
248 291 9
87 55 1
8 116 2
282 222 8
192 136 3
55 260 4
237 281 10
186 233 9
84 102 5
90 280 5
271 37 7
73 258 2
140 104 10
249 192 9
180 276 1
194 65 8
298 194 8
178 39 6
97 134 10
24 207 9
99 205 4
74 242 2
183 163 8
127 168 10
63 215 5
126 0 10
35 117 2
74 56 4
122 88 7
175 63 6
242 23 2
58 231 7
218 244 2
218 276 10
283 67 8
136 201 10
284 5 7
121 75 7
92 115 7
53 23 8
166 120 9
117 86 2
250 19 5
154 207 10
216 138 3
39 197 3
285 81 7
157 65 1
273 237 8
252 241 4
267 199 6
196 237 7
250 8 1
204 66 1
244 196 10
249 149 1
55 228 7
95 105 7
181 113 3
118 147 7
167 253 1
71 40 2
5 58 1
272 71 1
195 44 4
291 150 4
194 10 7
82 18 7
47 199 6
69 106 1
254 228 7
251 117 8
262 168 9
75 293 2
289 62 2
92 57 10
241 268 5
92 285 1
56 192 1
24 248 9
30 129 3
150 142 2
128 95 4
101 68 2
136 254 6
248 238 8
205 96 2
108 250 10
99 5 4
6 226 7
129 20 1
216 272 5
90 25 8
153 177 8
205 231 8
253 126 4
14 259 3
175 22 7
73 186 3
1 120 2
172 175 3
13 5 1
190 292 5
167 11 2
295 178 5
37 9 9
128 181 6
176 61 9
200 50 1
99 61 7
60 111 9
22 146 9
13 233 2
228 203 5
13 198 5
146 180 3
232 270 4
110 264 1
248 71 6
281 132 8
295 51 6
174 238 3
290 81 1
113 157 5
147 227 9
123 60 3
262 280 10
297 79 3
249 4 1
239 237 7
296 10 3
32 136 9
293 286 8
58 292 10
92 39 2
43 270 5
110 108 3
266 56 3
36 10 8
221 36 5
51 250 4
130 33 3
171 289 6
120 165 3
193 279 2
263 294 10
121 38 10
242 148 6
198 8 2
56 169 7
260 130 5
148 269 5
241 208 9
237 97 9
99 109 7
220 212 1
158 205 4
211 210 1
104 120 6
85 256 3
185 265 1
246 170 10
264 255 7
14 113 3
7 94 1
65 249 5
169 43 4
9 211 3
274 280 4
4 221 4
66 258 8
152 155 10
80 150 8
55 133 6
5 220 7
13 152 8
38 155 2
214 240 8
272 163 2
115 155 3
101 114 9
175 252 1
131 32 8
51 48 1
3 100 8
9 169 1
41 148 1
84 130 4
191 210 9
196 250 10
153 12 5
204 65 1
34 253 1
63 297 7
211 76 4
126 240 10
55 67 9
274 173 2
73 262 7
177 143 1
49 36 3
145 24 5
180 267 2
221 132 5
46 265 3
166 200 5
282 1 8
26 249 1
209 148 9
125 256 2
268 129 4
185 28 10
9 283 1
293 182 1
86 145 7
73 85 1
245 95 8
20 217 5
200 31 9
294 250 9
201 102 8
86 81 6
41 67 5
64 108 6
128 202 1
255 70 9
128 142 6
103 229 5
55 164 1
78 48 2
83 269 5
103 221 7
209 265 8
286 197 5
134 165 10
262 221 9
190 252 8
14 244 8
165 210 9
266 245 4
177 110 5
217 236 2
169 167 4
241 62 8
211 44 10
228 61 4
106 5 6
219 137 5
31 72 7
124 42 7
223 87 4
199 295 5
260 252 4
293 275 6
37 203 9
40 252 9
134 16 10
186 98 7
170 136 2
67 156 10
230 192 9
274 210 4
156 141 2
263 165 8
51 109 2
241 196 5
216 22 3
16 266 10
246 137 10
32 4 1
18 134 3
231 201 3
185 193 5
49 162 6
291 73 2
22 179 6
45 154 9
80 162 4
33 214 2
206 150 10
51 266 2
231 296 7
176 45 9
154 20 7
106 61 7
133 131 3
89 124 1
84 165 9
170 20 5
123 69 3
213 138 6
41 10 7
214 161 10
33 225 1
180 296 10
263 250 4
