500 120000
156 394 908
139 300 876
50 295 652
28 417 281
183 280 301
22 121 748
243 488 117
210 280 518
140 395 599
70 244 648
163 364 257
82 122 68
108 302 571
51 221 278
208 346 428
254 304 984
153 367 607
294 333 782
241 313 462
9 81 326
105 181 791
37 120 123
330 429 488
167 210 972
150 315 565
155 477 40
304 431 281
382 477 670
194 486 514
379 386 522
79 144 181
435 459 641
14 67 822
2 300 954
210 401 926
304 327 757
202 256 511
105 479 819
118 202 594
285 438 590
359 430 668
57 397 71
319 458 732
182 219 138
166 174 271
136 450 450
42 461 808
179 314 763
237 450 781
45 133 378
282 452 278
232 461 866
275 328 309
167 245 843
164 208 700
124 412 284
335 419 874
342 344 347
94 134 734
359 489 319
12 65 134
173 418 458
58 115 214
147 490 738
248 446 216
251 302 359
18 480 832
56 329 5
21 349 851
224 265 395
427 492 493
289 427 425
37 239 794
48 478 911
28 349 65
270 346 742
223 315 973
120 133 51
466 499 281
297 481 363
196 387 406
78 79 909
144 174 398
359 397 30
38 123 837
291 412 518
12 347 758
58 431 609
105 395 261
136 454 317
404 420 812
452 465 964
174 420 126
11 482 815
148 295 172
269 456 806
229 401 54
132 371 470
217 351 929
91 375 302
182 426 125
149 218 329
364 413 529
89 434 605
98 209 361
73 162 106
380 398 900
47 66 740
78 273 437
123 410 250
53 371 442
94 462 512
468 496 345
70 218 325
244 343 92
69 284 918
142 210 590
79 395 586
368 497 456
367 393 911
444 446 31
192 462 907
140 438 199
407 408 536
21 338 626
450 467 67
138 457 51
178 438 204
27 273 666
372 432 262
395 424 32
186 201 283
215 241 907
162 241 30
381 395 822
124 211 951
259 337 848
200 486 183
27 339 769
58 156 938
84 362 42
112 180 560
110 315 388
126 209 912
291 327 689
120 252 874
212 379 813
90 262 140
59 400 354
357 461 284
174 197 797
102 122 256
45 93 692
212 424 459
321 372 617
24 61 535
306 483 8
160 211 335
153 182 524
108 468 638
219 363 48
135 342 606
71 461 479
33 367 456
307 374 906
10 205 862
124 243 583
172 218 914
46 285 511
154 323 823
87 118 538
44 423 639
3 318 323
270 399 396
429 474 653
67 81 359
36 127 812
9 446 575
42 422 608
155 228 284
104 494 990
202 304 706
42 249 679
426 497 236
190 470 414
64 231 963
30 211 527
155 435 706
5 112 820
60 280 819
274 404 235
270 408 907
202 398 96
114 138 889
119 379 522
161 189 770
69 451 874
220 447 228
124 344 883
436 444 611
5 256 279
95 212 651
108 327 650
99 451 370
4 218 524
117 294 612
104 496 71
94 476 177
14 316 74
88 457 748
37 329 332
22 476 596
335 421 214
129 358 516
97 185 294
31 367 639
467 482 600
217 364 578
81 284 757
208 309 11
47 471 930
10 173 572
344 392 154
52 216 396
178 229 199
411 478 601
115 153 230
60 239 72
31 437 893
355 423 507
40 138 123
385 421 430
125 404 637
433 453 989
111 329 754
158 422 987
35 267 838
53 299 467
156 246 505
43 336 412
52 251 488
115 454 455
146 489 719
72 112 850
94 211 93
29 182 43
349 429 500
134 158 568
38 214 863
269 493 159
181 286 626
14 105 77
73 290 651
269 415 335
92 439 250
67 370 903
140 233 870
311 459 286
172 457 479
452 463 350
43 469 583
234 282 793
42 112 294
125 129 185
247 288 264
15 138 96
154 215 657
294 366 947
259 327 121
39 119 972
135 267 496
22 61 489
116 332 659
139 329 194
146 236 694
21 27 467
14 367 926
281 444 63
49 461 987
88 296 153
298 420 190
25 249 816
83 134 41
36 94 98
104 132 942
44 493 917
236 441 831
154 485 88
183 429 869
11 394 481
159 166 64
153 239 204
383 445 217
31 274 574
66 203 231
70 460 832
244 393 700
342 353 293
184 366 241
50 382 629
268 497 23
260 277 913
183 278 545
1 184 366
242 443 530
311 317 570
61 333 552
25 463 518
18 178 824
54 247 94
189 334 110
273 403 518
399 478 593
74 177 580
146 483 804
74 436 809
308 318 806
14 380 41
17 219 854
127 421 378
45 348 681
231 298 618
352 481 551
48 145 51
301 474 761
198 470 772
20 42 894
277 395 838
266 396 798
15 206 709
117 155 944
191 299 981
86 435 661
132 280 278
3 295 10
43 307 873
134 308 131
71 385 353
339 449 197
345 410 199
104 149 118
62 296 260
111 445 627
33 67 451
53 209 655
268 289 398
184 269 863
217 277 528
231 412 119
124 196 42
260 298 777
251 321 24
52 109 523
345 435 942
260 449 473
341 378 760
97 358 842
171 376 969
203 270 61
211 402 938
78 462 740
134 232 822
32 264 226
246 414 654
47 74 2
215 446 279
199 498 889
29 323 884
34 92 332
67 78 618
318 468 116
123 460 126
179 476 871
51 134 164
28 153 180
331 402 302
189 236 95
61 412 913
62 120 780
220 301 911
25 227 824
287 443 570
252 287 275
144 452 144
378 472 954
7 301 612
67 219 292
19 155 237
170 478 177
265 417 250
155 499 523
1 154 423
1 15 165
389 427 410
394 476 149
205 345 81
196 464 764
84 129 463
369 371 866
206 467 474
346 442 317
273 388 968
62 298 384
48 292 668
159 286 689
131 145 312
343 367 183
15 102 758
384 426 342
131 333 990
337 468 552
101 363 372
119 195 119
312 413 976
291 368 345
15 123 835
278 294 784
204 460 393
262 323 960
212 359 325
58 371 638
136 273 52
163 274 395
42 131 874
221 311 647
185 231 255
88 185 823
71 293 683
226 497 966
256 322 835
414 468 811
41 256 807
73 293 651
173 427 571
317 434 116
387 410 111
397 487 673
116 305 661
92 270 741
239 281 894
241 422 151
135 442 182
178 207 534
308 309 661
44 110 224
217 349 462
167 421 419
415 493 966
83 257 313
4 140 877
9 495 239
51 295 556
117 325 229
256 477 784
66 244 684
127 377 987
224 253 711
410 435 729
408 452 573
342 383 97
56 382 502
251 299 361
294 351 203
114 268 74
120 286 337
59 353 565
409 490 860
263 477 657
80 479 248
227 438 252
66 422 102
38 73 544
15 460 833
45 494 842
30 434 325
296 455 362
170 307 16
41 395 776
196 266 60
230 312 660
266 400 963
106 170 261
206 493 753
372 381 622
27 162 108
125 309 29
110 256 770
83 141 404
46 148 726
246 252 778
344 459 619
260 408 251
150 416 895
328 329 658
35 415 433
48 342 774
201 296 736
34 124 388
86 313 54
112 440 130
384 487 548
311 425 937
86 307 940
426 469 623
112 148 931
466 486 702
53 123 439
172 487 640
129 274 456
38 173 775
324 341 186
18 167 296
258 355 169
115 126 264
194 328 662
114 293 532
71 380 264
238 446 628
176 463 577
94 334 548
440 463 167
12 45 240
345 349 994
244 324 673
6 330 183
221 386 290
148 497 318
176 490 187
75 234 612
192 197 584
94 308 215
222 427 481
240 264 863
252 423 799
316 465 510
209 401 140
14 310 441
363 487 842
175 315 477
338 340 726
148 461 181
3 229 927
379 413 277
143 379 195
45 192 683
245 382 809
360 468 205
297 365 324
22 27 256
39 349 731
163 283 895
53 392 412
157 184 365
149 470 238
40 459 602
317 399 372
128 444 386
289 484 181
61 496 507
16 100 510
243 418 644
321 476 338
180 396 865
321 473 587
166 328 975
48 178 569
39 85 900
215 321 849
199 469 959
305 467 727
178 479 799
320 479 153
24 295 523
108 417 21
35 429 329
37 346 175
89 344 863
38 156 824
138 254 871
106 115 20
364 492 380
63 337 395
24 108 683
46 496 331
172 247 9
316 382 938
25 126 42
349 468 124
83 370 412
6 58 957
45 434 314
109 442 858
284 386 190
383 443 832
27 276 636
4 368 397
152 155 451
118 255 385
183 221 471
244 472 823
389 395 934
82 438 697
227 409 795
193 313 194
243 435 39
102 296 902
55 61 260
172 485 694
325 354 692
455 469 213
92 333 405
53 188 917
29 382 643
105 323 410
54 353 236
53 245 860
112 179 583
393 402 153
97 422 569
474 497 475
290 341 660
196 459 731
41 202 106
227 298 519
146 495 437
337 368 152
167 318 670
287 353 939
144 446 847
51 161 815
9 75 862
234 328 260
337 343 414
156 268 458
368 480 900
447 496 194
140 205 102
80 287 23
96 332 460
26 258 390
207 389 44
200 257 614
54 291 92
47 65 292
14 386 455
301 355 802
197 418 830
339 409 577
90 355 432
26 447 638
428 441 124
181 295 737
179 311 555
388 420 762
171 385 555
25 230 257
240 413 189
65 356 3
155 206 113
81 195 559
109 448 360
237 411 189
69 128 32
374 490 47
30 330 958
107 422 983
21 96 246
312 495 157
73 368 998
340 423 359
123 415 603
31 89 541
192 348 715
18 179 729
278 358 110
84 321 592
116 393 783
326 328 113
297 335 7
290 476 317
244 394 138
109 329 785
20 325 837
54 252 813
293 471 815
132 304 305
408 412 666
214 234 647
49 359 525
156 302 484
10 252 680
322 388 670
58 95 77
6 364 353
287 446 622
101 318 250
286 494 566
2 267 180
286 443 773
341 486 415
28 198 993
236 291 145
21 248 915
252 453 429
84 426 392
328 485 431
72 499 906
37 68 969
157 495 628
75 151 549
276 407 25
76 279 514
101 400 62
230 387 82
309 425 624
146 279 204
136 413 524
52 370 425
319 485 362
324 328 918
170 310 785
60 148 542
187 199 926
80 334 616
233 241 978
94 237 258
143 387 207
126 342 963
161 361 158
401 447 178
288 451 392
68 104 454
29 378 978
70 352 845
246 348 297
262 396 597
283 395 216
108 195 855
88 172 201
210 431 793
100 345 787
188 369 522
6 254 860
296 400 259
355 440 226
29 433 706
56 60 190
402 430 194
69 105 598
86 244 594
153 472 561
167 287 814
346 431 375
190 424 134
61 334 682
192 202 59
19 32 240
129 225 409
89 288 477
162 494 71
190 460 993
267 311 627
213 458 705
323 486 744
455 482 715
148 475 311
147 330 124
162 310 588
307 320 425
184 475 479
134 305 152
153 164 758
83 386 744
70 152 771
335 489 357
391 448 865
86 479 175
13 168 76
77 439 145
274 287 329
116 496 537
18 93 393
47 103 598
249 402 700
142 280 782
47 339 862
119 473 653
136 176 355
24 396 875
101 195 219
47 313 865
134 488 439
46 342 223
265 284 891
223 401 24
101 365 802
310 397 675
225 364 625
30 251 183
234 308 952
64 230 542
38 176 647
196 434 144
6 452 753
26 375 698
6 388 574
16 348 889
398 421 76
76 248 980
153 398 922
67 180 19
36 274 101
428 471 221
61 300 767
246 426 797
55 230 704
32 129 535
169 372 4
256 339 477
128 295 90
58 341 822
221 319 579
454 493 880
64 370 564
204 210 808
251 351 436
97 383 680
120 453 590
105 236 371
127 386 119
170 392 217
71 343 15
14 153 139
25 277 800
449 470 996
123 452 736
366 399 34
392 493 346
12 458 437
329 399 778
26 323 163
135 247 633
228 308 131
19 337 210
158 473 881
84 328 811
81 353 127
95 424 954
4 41 152
110 323 401
35 45 806
6 233 114
40 481 625
36 244 78
81 272 101
228 455 295
222 351 922
440 458 890
133 161 698
230 317 899
232 240 804
56 186 781
67 101 589
22 198 371
129 221 611
338 395 747
307 321 195
268 308 905
183 188 979
261 416 228
418 467 416
194 444 451
259 341 458
129 190 369
129 442 614
5 365 80
125 326 734
161 436 792
178 302 822
9 204 799
255 325 845
39 304 753
301 398 70
124 137 794
333 346 961
273 374 105
179 329 89
227 471 900
136 367 842
406 494 640
116 478 965
149 400 679
174 202 95
34 426 428
236 367 492
19 277 620
359 403 224
282 346 207
354 381 363
173 414 373
181 210 527
197 365 566
252 492 5
88 430 235
300 442 763
50 70 315
241 468 262
301 326 477
289 359 296
225 401 867
265 476 744
6 70 749
1 369 771
280 410 880
135 371 189
255 453 946
220 317 66
280 350 124
117 378 48
41 70 354
117 452 242
33 402 446
375 466 363
76 296 14
68 307 582
395 470 877
59 168 649
288 350 828
50 334 353
101 346 477
157 447 606
162 473 10
168 289 857
16 466 790
23 457 571
48 116 549
118 431 579
346 421 773
196 417 591
48 473 841
235 461 381
40 179 522
133 242 434
263 438 577
83 99 500
436 454 87
21 63 208
176 368 633
346 434 15
157 160 861
140 200 633
27 119 295
87 334 289
182 285 5
351 454 716
174 273 179
173 458 4
99 130 295
97 182 784
200 417 781
339 479 996
283 309 764
237 256 208
111 436 321
336 342 411
26 360 821
62 234 898
129 208 200
102 355 730
263 393 101
172 484 873
13 62 72
20 260 825
8 259 509
87 150 754
51 279 54
220 385 650
159 163 775
348 499 945
245 265 883
368 398 695
169 203 110
340 422 978
165 277 45
245 275 749
17 313 821
317 448 411
141 499 205
236 334 591
44 381 825
221 302 939
23 486 823
81 391 327
37 259 690
141 390 410
61 170 30
11 164 444
114 159 569
229 257 232
364 444 511
234 286 812
69 372 983
183 193 453
3 4 209
91 148 559
156 430 363
294 332 123
5 291 275
59 382 603
246 357 470
315 360 534
29 147 285
382 485 191
352 462 851
97 285 605
150 215 448
80 236 248
98 113 239
324 476 260
325 417 966
105 271 956
14 397 6
232 476 98
112 486 915
399 418 967
456 476 912
111 260 637
21 491 849
169 415 742
96 223 151
407 424 395
258 346 145
315 411 306
156 308 847
189 213 917
17 74 515
82 301 795
287 379 652
177 474 858
84 290 850
186 430 668
68 150 822
247 335 872
336 398 267
403 436 794
198 235 174
110 117 850
189 384 122
183 232 410
481 494 256
278 347 907
78 90 948
197 277 308
79 470 419
380 386 986
54 122 697
21 264 962
147 284 645
295 365 270
10 307 592
240 347 955
481 482 693
1 223 865
9 427 997
432 480 973
91 166 385
167 241 840
140 402 291
8 49 672
57 258 163
117 178 871
177 345 915
292 401 658
69 300 726
231 344 413
123 440 751
112 461 715
329 388 18
21 303 139
204 363 306
297 388 692
102 160 383
22 297 787
116 446 415
313 354 150
188 468 792
383 427 921
233 235 625
40 81 61
100 244 660
60 150 988
228 496 69
286 402 907
202 286 311
196 224 711
231 343 273
60 176 589
169 498 750
383 462 824
117 291 24
447 479 522
130 308 298
159 424 840
160 480 968
53 310 606
51 350 679
212 265 792
209 491 173
255 313 960
43 142 940
203 474 579
130 452 908
83 363 609
78 481 586
260 380 928
292 429 545
6 263 895
46 207 48
13 263 278
213 368 606
128 385 423
274 293 836
8 344 672
57 295 662
207 468 941
372 413 698
120 349 899
29 494 863
185 408 786
173 449 822
33 267 465
20 121 692
99 228 421
28 133 872
100 390 635
54 338 827
419 451 727
23 177 142
40 188 397
355 489 993
93 345 956
2 27 218
141 319 884
17 433 837
200 465 837
124 201 101
51 489 156
139 450 225
28 453 945
61 420 435
186 496 643
32 292 936
258 445 437
347 462 548
229 466 870
203 227 328
256 407 964
337 399 459
9 347 136
46 366 584
23 361 938
309 435 50
135 215 587
89 250 818
354 468 993
128 233 1
135 274 529
133 226 571
236 364 491
340 398 319
331 465 314
64 264 756
51 184 284
262 293 633
17 237 329
168 410 175
41 381 651
16 193 369
74 268 303
317 454 202
204 480 141
378 454 868
267 358 729
99 113 795
248 256 34
72 306 481
211 411 985
120 251 122
217 348 778
238 329 941
180 206 884
183 422 802
39 104 687
196 398 742
28 406 826
34 62 732
368 496 174
348 463 793
15 326 163
103 320 935
27 352 539
41 335 18
93 267 939
105 267 569
149 493 655
62 314 178
13 92 644
336 496 769
63 206 63
17 311 76
59 253 836
392 424 959
23 299 99
87 134 624
189 200 90
406 436 338
495 499 576
102 373 857
60 193 241
257 332 163
189 460 817
97 164 587
289 354 904
275 393 766
151 415 218
36 373 598
311 483 606
267 395 567
224 311 71
223 467 641
135 233 674
19 274 179
166 367 863
48 246 689
238 255 460
168 239 279
59 222 445
74 369 595
196 275 192
108 424 264
394 450 867
67 103 813
179 266 287
82 327 842
105 289 606
47 387 932
110 296 495
128 147 197
5 101 830
81 137 536
87 420 936
149 487 897
93 130 186
442 486 26
228 292 169
59 386 12
141 164 109
192 281 945
384 467 103
153 417 567
72 136 885
17 460 527
239 390 450
330 404 567
208 459 271
309 331 646
123 176 169
121 203 515
74 304 845
152 213 786
51 391 57
103 318 804
266 404 52
134 196 416
58 85 886
65 67 245
214 257 495
369 475 329
445 454 676
184 376 856
74 151 692
179 280 531
7 384 618
244 465 903
112 468 567
36 494 416
426 454 46
193 210 106
360 389 519
56 89 134
226 339 763
274 280 557
10 428 10
221 332 821
175 205 522
346 401 339
420 476 77
336 382 960
86 223 48
14 470 22
83 111 6
158 339 58
57 72 778
194 391 681
309 439 387
281 357 773
16 128 704
373 377 884
277 368 585
11 353 788
6 96 849
80 205 478
50 347 93
164 207 855
14 213 366
64 275 588
108 344 987
121 364 159
151 298 162
308 458 801
195 264 838
80 404 965
109 321 400
189 483 741
68 208 250
333 367 432
280 387 647
300 434 571
43 168 926
327 404 658
56 358 501
289 386 605
6 120 354
303 446 510
126 257 17
39 387 144
93 463 500
62 386 853
47 270 201
176 416 826
23 474 445
75 172 16
334 435 710
215 352 423
14 473 56
448 463 298
130 345 395
163 462 432
83 373 556
131 322 877
152 388 352
376 390 140
204 443 329
137 478 86
445 485 117
356 400 418
55 392 936
18 127 440
179 421 785
52 312 855
172 442 74
186 370 466
55 496 34
91 147 735
135 239 281
368 439 926
207 483 261
69 101 876
114 383 455
53 249 472
161 346 582
378 423 19
24 99 40
174 187 994
55 162 921
120 248 777
273 377 126
196 282 777
21 243 215
375 444 772
1 208 152
210 211 198
124 442 115
44 287 125
283 353 278
209 286 168
307 386 471
258 315 965
3 176 129
16 341 135
8 331 744
355 377 650
17 489 252
139 316 121
243 489 424
84 368 368
376 489 199
178 228 477
128 190 702
12 34 748
115 334 989
76 264 710
133 230 83
21 22 483
66 358 736
197 404 204
215 313 911
96 307 712
255 306 481
91 110 862
24 131 427
68 97 353
284 473 89
1 13 739
188 343 386
19 339 168
280 444 872
196 217 784
226 464 44
381 431 120
77 354 546
71 413 282
150 392 162
194 316 118
243 313 707
113 290 856
306 461 3
45 123 189
76 496 748
50 251 11
243 260 363
70 393 852
213 275 339
208 328 748
54 61 402
199 368 200
233 471 271
4 462 108
213 292 552
123 315 300
212 417 883
392 400 492
145 360 957
41 407 274
260 351 210
201 276 736
83 364 811
50 436 174
240 491 784
247 337 939
67 106 920
215 476 912
295 340 140
21 320 284
143 450 841
228 310 433
23 228 306
149 252 729
378 427 940
121 198 889
209 454 615
178 338 864
367 417 585
184 471 676
324 377 180
9 216 281
443 484 17
202 444 128
25 499 914
86 431 63
3 343 856
229 271 958
277 428 71
281 440 636
115 348 549
437 498 601
223 265 886
206 468 195
36 449 202
290 447 138
245 480 959
88 202 350
245 453 157
326 340 230
150 423 66
58 496 436
39 455 626
272 464 244
55 457 767
86 114 650
106 193 338
40 77 196
192 332 51
127 397 430
190 277 204
110 248 855
258 338 927
295 296 160
96 270 227
6 277 415
214 333 890
232 284 309
134 237 631
73 107 664
112 454 143
460 499 894
260 441 883
232 404 377
130 160 21
19 423 187
47 106 531
22 402 895
69 120 222
157 400 489
82 191 608
158 404 529
246 281 140
325 326 166
236 250 571
272 324 345
58 78 940
54 412 394
106 379 415
265 299 493
155 396 28
305 375 860
194 455 844
271 417 37
196 467 680
38 452 17
344 488 924
121 479 781
81 236 651
316 355 543
169 216 307
364 463 909
55 318 268
412 487 180
455 483 674
13 107 270
447 456 614
189 366 138
265 425 887
162 323 528
93 273 576
6 12 682
129 155 183
255 261 440
201 217 154
286 374 771
84 164 922
258 449 760
3 108 852
78 188 960
328 471 681
277 483 419
280 300 91
226 278 794
111 396 407
262 348 672
61 406 335
138 414 321
200 294 530
63 478 831
21 400 481
112 314 475
289 335 896
204 324 105
23 437 120
225 402 985
110 379 402
296 431 323
120 273 740
211 495 67
382 429 350
202 340 742
186 334 195
60 115 638
318 491 628
35 223 185
299 470 544
102 231 104
207 340 114
288 314 375
68 426 76
320 464 848
289 437 319
343 496 986
26 347 676
423 458 200
310 403 607
400 434 104
200 446 227
23 240 21
118 426 6
75 262 771
308 351 996
79 219 366
109 366 554
22 109 773
177 206 77
105 471 675
1 465 465
55 402 547
142 444 297
360 457 99
121 474 646
109 475 854
6 313 6
113 140 51
349 461 971
231 400 156
64 217 636
89 113 164
131 419 314
132 460 629
453 473 431
239 468 329
55 444 417
245 446 642
180 447 224
1 384 131
375 391 110
179 287 806
374 447 521
399 406 451
222 484 554
289 380 206
400 447 664
88 462 358
183 276 482
124 314 597
55 356 631
69 440 111
192 485 238
47 311 752
272 383 141
36 308 764
70 230 117
211 446 421
331 416 848
66 167 255
94 140 873
239 451 967
32 93 656
100 320 594
245 250 267
234 241 804
66 300 75
85 292 153
331 408 182
48 307 186
183 437 856
103 409 634
342 423 24
209 279 915
298 344 555
120 363 823
42 199 357
139 154 346
25 270 249
265 301 239
310 356 87
229 449 583
104 434 987
27 143 67
104 290 128
213 353 52
452 491 406
480 495 851
459 478 117
306 444 975
224 413 851
283 386 294
139 414 343
231 254 788
20 162 314
16 46 362
140 238 36
73 116 570
403 458 235
7 19 235
79 192 813
327 499 635
266 314 486
109 245 379
337 427 781
166 420 605
167 487 535
395 449 651
131 474 605
323 330 825
33 71 329
381 478 445
301 385 423
147 276 744
173 383 398
135 237 120
3 466 695
68 129 517
458 466 173
177 247 262
465 480 228
149 390 527
166 498 410
61 168 806
5 154 895
6 430 297
109 378 329
184 429 165
156 229 131
59 195 460
267 392 846
16 194 831
50 173 751
105 480 27
199 428 831
93 282 127
99 129 377
193 295 524
256 429 338
371 376 89
316 438 867
296 427 818
229 274 173
149 399 376
132 391 839
282 450 395
61 368 986
236 304 399
308 428 19
